city_name,region,federal_district,population,foundation_year,status,old_name,latitude,longitude
Абаза,Хакасия,Сибирский,12272,1867,1966,"Абаканский Завод,Абаканско-Заводское",52.6510546,90.101159
Абакан,Хакасия,Сибирский,184769,1734,1931,Усть-Абаканское(до 1931),53.72068,91.4406019
Абдулино,Оренбургская область,Приволжский,17274,1795,1923,,53.6909898,53.6475042
Абинск,Краснодарский край,Южный,39511,1863,1963,Абинское(до 1863);Абинская(до 1962),44.8649528,38.1578189
Агидель,Башкортостан,Приволжский,14219,1980,1991,,55.8989632,53.9341908
Агрыз,Татарстан,Приволжский,19991,1646,1938,,56.525516,52.9971643
Адыгейск,Адыгея,Южный,13175,1969,1976,Адыгейский(до 1976);Теучежск(до 1990),44.8833775,39.1909625
Азнакаево,Татарстан,Приволжский,34750,1762,1987,,54.8629555,53.0792275
Азов,Ростовская область,Южный,81924,1067,1708,"Азак,Тана",47.1139219,39.4259657
Ак-Довурак,Тыва,Сибирский,12456,1964,1964,,51.173087,90.5934434
Аксай,Ростовская область,Южный,48372,1570,1957,Аксайская,47.268696,39.861362
Алагир,Северная Осетия,Северо-Кавказский,21550,1850,1938,,43.039841,44.220451
Алапаевск,Свердловская область,Уральский,36189,1639,1781,,57.850811,61.695
Алатырь,Чувашия,Приволжский,32265,1552,1552,,54.8419041,46.5878356
Алдан,Якутия,Дальневосточный,21590,1924,1932,Незаметный(до 1939),58.608414,125.388222
Алейск,Алтайский край,Сибирский,25380,1913,1939,,52.4986842,82.7752065
Александров,Владимирская область,Центральный,57053,1350XIV век,1778,Александрова слобода,56.3962287,38.7111103
Александровск,Пермский край,Приволжский,10780,1783,1951,,59.1593861,57.5861232
Александровск-Сахалинский,Сахалинская область,Дальневосточный,8854,1869,1917,Александровский пост(до 1926),50.8974983,142.1591667
Алексеевка,Белгородская область,Центральный,36578,1685,1954,,50.6299364,38.6867154
Алексин,Тульская область,Центральный,60842,1348,1777,,54.5028103,37.0667213
Алзамай,Иркутская область,Сибирский,5373,1899,1955,,55.554956,98.6654191
Алушта,Крым,Южный,31364,550VI век,1902,"Луста,Алустон",44.6789134,34.4109856
Альметьевск,Татарстан,Приволжский,163512,1750XVIII век,1953,Альметьево(до 1952),54.9005008,52.2963777
Амурск,Хабаровский край,Дальневосточный,38606,1958,1973,Падали-Восточное,50.2265588,136.9100919
Анапа,Краснодарский край,Южный,81863,1781,1846,,44.894272,37.316887
Ангарск,Иркутская область,Сибирский,221296,1948,1951,Майск,52.5443167,103.8882138
Андреаполь,Тверская область,Центральный,6956,1907,1967,Андреяполь,56.646801,32.26532
Анжеро-Судженск,Кемеровская область,Сибирский,66583,1896,1931,,56.077808,86.019356
Анива,Сахалинская область,Дальневосточный,9638,1886,1946,Лютога(до 1905);Рутака(до 1946),46.7147768,142.527515
Апатиты,Мурманская область,Северо-Западный,49647,1926,1966,Белый(до 1926),67.568626,33.404392
Апрелевка,Московская область,Центральный,35514,1899,1961,,55.5454306,37.0730417
Апшеронск,Краснодарский край,Южный,40289,1863,1947,,44.4618046,39.741048
Арамиль,Свердловская область,Уральский,19013,1675,1966,,56.6962917,60.8330976
Аргун,Чечня,Северо-Кавказский,41622,1750XVIII век,1967,Устар-Гардой(до 1944);Колхозное(до 1962),43.2950455,45.8688918
Ардатов,Мордовия,Приволжский,8857,1671,1780,"Новотроицкое,Ардатово",54.84503,46.23863
Ардон,Северная Осетия,Северо-Кавказский,18956,1824,1964,,43.1758059,44.3055486
Арзамас,Нижегородская область,Приволжский,104908,1552,1578,,55.3857356,43.8165228
Аркадак,Саратовская область,Приволжский,10990,1721,1963,,51.942913,43.489098
Армавир,Краснодарский край,Южный,187177,1839,1914,Армянский аул(до 1848);Армавирский аул(1876),44.9993585,41.1294061
Арсеньев,Приморский край,Дальневосточный,47937,1902,1952,Семёновка(до 1952),44.1644451,133.2704255
Арск,Татарстан,Приволжский,20421,1250XIII век,2008,,56.0909916,49.8771828
Артём,Приморский край,Дальневосточный,109556,1924,1938,Зыбунный,43.3529909,132.1800977
Артёмовск,Красноярский край,Сибирский,1510,1700,1939,Ольховский(до 1939),54.349564,93.437813
Артёмовский,Свердловская область,Уральский,28943,1665,1938,Егоршинские копи,57.3431854,61.8775035
Архангельск,Архангельская область,Северо-Западный,301199,1584,1613,Новохолмогоры(до 1613),64.543022,40.537121
Асбест,Свердловская область,Уральский,57317,1889,1933,Куделька(до 1928),57.0052746,61.4580765
Асино,Томская область,Сибирский,24913,1896,1952,Ксеньевка(до 1933),56.999187,86.14167
Астрахань,Астраханская область,Южный,475629,1558,1717,"Хаджи-Тархан,Аштархан",46.3498308,48.0326203
Аткарск,Саратовская область,Приволжский,22709,1750XVIII век,1780,,51.8750207,44.997499
Ахтубинск,Астраханская область,Южный,35635,1768,1959,Владимировка(до 1959),48.2848132,46.1643706
Ачинск,Красноярский край,Сибирский,100621,1683,1782,,56.2694846,90.4953964
Ачхой-Мартан,Чечня,Северо-Кавказский,30739,1846,2023,Новосельское(1944—1957),43.1926252,45.2879291
Аша,Челябинская область,Уральский,27890,1898,1933,Аша-Балашовский завод,54.9908896,57.2780531
Бабаево,Вологодская область,Северо-Западный,11739,1450XV век,1925,,59.3887129,35.9499951
Бабушкин,Бурятия,Сибирский,4368,1760,1902,Мысовский(до 1892);Мысовая(до 1902);Мысовск(до 1941),51.7161749,105.8635328
Бавлы,Татарстан,Приволжский,21628,1658,1997,"Мансурово,Бавлы-Мансурово",54.4031069,53.2356367
Багратионовск,Калининградская область,Северо-Западный,6417,1336,1946,Прейсиш-Эйлау(до 1946),54.3868191,20.6405124
Байкальск,Иркутская область,Сибирский,13199,1961,1966,,51.5171917,104.1410261
Баймак,Башкортостан,Приволжский,17833,1850,1938,"Таналыково,Баймак-Таналыково",52.597919,58.30756
Бакал,Челябинская область,Уральский,16345,1757,1951,,54.936657,58.810249
Баксан,Кабардино-Балкария,Северо-Кавказский,39593,1891,1967,Кучмазукино(до 1920);Старая Крепость(до 1960),43.6820626,43.5344319
Балабаново,Калужская область,Центральный,29029,1584,1972,,55.1783579,36.6575564
Балаково,Саратовская область,Приволжский,184466,1762,1911,,52.01812,47.819141
Балахна,Нижегородская область,Приволжский,48569,1474,1536,,56.4870505,43.6039553
Балашиха,Московская область,Центральный,520962,1830,1939,,55.7997662,37.9373707
Балашов,Саратовская область,Приволжский,74057,1650XVII век,1780,,51.5546717,43.1430732
Балей,Забайкальский край,Сибирский,10286,1736,1932,Новотроицкий промысел(до 1932),51.578789,116.646042
Балтийск,Калининградская область,Северо-Западный,26796,1626,1725,Пиллау(до 1946),54.6437214,19.8941584
Барабинск,Новосибирская область,Сибирский,27648,1893,1917,,55.3567611,78.350348
Барнаул,Алтайский край,Сибирский,630877,1730,1771,,53.3475493,83.7788448
Барыш,Ульяновская область,Приволжский,14924,1650XVII век,1954,,53.6539677,47.1047747
Батайск,Ростовская область,Южный,126988,1769,1938,"Батайское,Батайская",47.138527,39.742348
Бежецк,Тверская область,Центральный,21466,1137,1775,Городецк(до 1766),57.781357,36.692535
Белая Калитва,Ростовская область,Южный,40448,1703,1958,Усть-Белокалитвенская,48.1751778,40.7902124
Белая Холуница,Кировская область,Приволжский,9659,1764,1965,Белохолуницкий(до 1965),58.8432546,50.8528865
Белгород,Белгородская область,Центральный,339978,1596,1596,,50.5955595,36.5873394
Белебей,Башкортостан,Приволжский,59195,1757,1781,,54.106495,54.107811
Белёв,Тульская область,Центральный,12846,1147,1147,,53.811798,36.137001
Белинский,Пензенская область,Приволжский,8656,1708,1780,Чембар(до 1948),52.9669338,43.4130625
Белово,Кемеровская область,Сибирский,68542,1726,1938,,54.419323,86.303429
Белогорск,Крым,Южный,17445,1250XIII век,1250XIII век,Карасубазар(до 1944),50.921326,128.47287
Белогорск,Крым,Южный,17445,1250XIII век,1250XIII век,Карасубазар(до 1944),50.921326,128.47287
Белозерск,Вологодская область,Северо-Западный,8375,862,862,Белоозеро,60.03199,37.7842189
Белокуриха,Алтайский край,Сибирский,14735,1846,1982,,51.9994856,84.9860861
Беломорск,Карелия,Северо-Западный,7708,1150XII век,1938,Сорока(до 1938),64.5216684,34.7625835
Белоозёрский,Московская область,Центральный,13737,1961,2019,,55.4595029,38.4389885
Белорецк,Башкортостан,Приволжский,64525,1762,1923,Белорецкий завод(до 1923),53.9680705,58.4099549
Белореченск,Краснодарский край,Южный,55870,1862,1958,Белореченская(до 1958),44.7614149,39.8712943
Белоусово,Калужская область,Центральный,10946,1962,2004,,55.089725,36.6613397
Белый,Тверская область,Центральный,3125,1350,1350,,55.833073,32.939487
Бердск,Новосибирская область,Сибирский,102850,1716,1944,Бердский острог(до 1783);Колывань(до 1797);Бердское(до 1929),54.75795,83.1068095
Березники,Пермский край,Приволжский,138069,1623,1932,,59.4084171,56.8036958
Берёзовский,Свердловская область,Уральский,59698,1748,1938,,56.9097871,60.8120254
Берёзовский,Свердловская область,Уральский,59698,1748,1938,,56.9097871,60.8120254
Беслан,Северная Осетия,Северо-Кавказский,35929,1847,1950,Тулатово(до 1941);Иристон(до 1950),43.1875572,44.5375689
Бийск,Алтайский край,Сибирский,183852,1709,1782,,52.5394905,85.2148673
Бикин,Хабаровский край,Дальневосточный,16240,1895,1938,,46.8188381,134.2581318
Бирск,Башкортостан,Приволжский,44295,1663,1781,Архангельское,55.4206774,55.5407179
Бирюсинск,Иркутская область,Сибирский,8632,1897,1967,Суетиха(до 1967),55.9623053,97.8169774
Бирюч,Белгородская область,Центральный,7114,1705,2005,Будённый(с 1919 до 1958);Красногвардейское(с 1958 до 2007),50.6488476,38.396442
Благовещенск,Амурская область,Дальневосточный,241437,1856,1858,Усть-Зейская(до 1858);Благовещенская(до 1858),50.2600417,127.5337378
Благовещенск,Амурская область,Дальневосточный,241437,1856,1858,Усть-Зейская(до 1858);Благовещенская(до 1858),50.2600417,127.5337378
Благодарный,Ставропольский край,Северо-Кавказский,30827,1782,1971,Солдатское,45.1006298,43.4372187
Бобров,Воронежская область,Центральный,20871,1698,1711,,51.0967999,40.0307798
Богданович,Свердловская область,Уральский,30142,1885,1947,,56.7683407,62.0520774
Богородицк,Тульская область,Центральный,29560,1663,1777,,53.773571,38.126965
Богородск,Нижегородская область,Приволжский,35068,1561,1923,Богородское(до 1923),56.103416,43.516819
Боготол,Красноярский край,Сибирский,18206,1893,1911,,56.211464,89.531639
Богучар,Воронежская область,Центральный,14370,1704,1779,,49.9324498,40.5544754
Бодайбо,Иркутская область,Сибирский,8921,1864,1903,,57.8499525,114.2039967
Бокситогорск,Ленинградская область,Северо-Западный,16185,1929,1950,Бокситы(до 1935),59.4729021,33.8489952
Болгар,Татарстан,Приволжский,8285,920X век,1957,Булгар;Спасск(до 1935);Куйбышев(до 1991),54.9819014,49.0240116
Бологое,Тверская область,Центральный,20234,1495,1918,,57.885204,34.049603
Болотное,Новосибирская область,Сибирский,15644,1805,1943,,55.6715707,84.388557
Болохово,Тульская область,Центральный,9339,1550XVI век,1943,,54.085094,37.829109
Болхов,Орловская область,Центральный,9495,1196,1778,,53.448994,36.002232
Большой Камень,Приморский край,Дальневосточный,41825,1947,1989,Стройка УНР-261(до 1956),43.1121194,132.3509104
Бор,Нижегородская область,Приволжский,78372,1350XIV век,1938,,56.3598289,44.0542641
Борзя,Забайкальский край,Сибирский,29596,1899,1950,,50.3851808,116.5330685
Борисоглебск,Воронежская область,Центральный,60687,1698,1779,Новопавловск(до 1704),51.368015,42.075169
Боровичи,Новгородская область,Северо-Западный,47883,1450XV век,1770,,58.389009,33.9068275
Боровск,Калужская область,Центральный,12598,1358,1358,,55.2072635,36.4827133
Бородино,Красноярский край,Сибирский,15174,1949,1981,,55.9,94.89365
Братск,Иркутская область,Сибирский,224071,1631,1955,"Брацк,Братско-Острожное,Братское",56.1517085,101.6334907
Бронницы,Московская область,Центральный,21831,1453,1781,Броничи,55.422,38.2591
Брянск,Брянская область,Центральный,379152,985,985,Дебрянск,53.2423778,34.3668288
Бугры,Ленинградская область,Северо-Западный,22428,1855,2024,,60.0684741,30.3947002
Бугульма,Татарстан,Приволжский,81677,1736,1781,,54.5384152,52.7955953
Бугуруслан,Оренбургская область,Приволжский,43593,1748,1781,,53.6527806,52.4340458
Будённовск,Ставропольский край,Северо-Кавказский,58103,1799,1799,"Святой Крест(до 1921);Прикумск(до 1935, с 1957 до 1973)",44.780533,44.163357
Бузулук,Оренбургская область,Приволжский,88341,1736,1781,,52.788502,52.253899
Буинск,Татарстан,Приволжский,19968,1691,1780,,54.9723656,48.2926834
Буй,Костромская область,Центральный,20564,1536,1719,,58.4816821,41.532956
Буйнакск,Дагестан,Северо-Кавказский,68121,1834,1866,Темир-Хан-Шура(до 1922),42.8260906,47.1219624
Бутурлиновка,Воронежская область,Центральный,24397,1740,1917,,50.79605,40.6019109
Валдай,Новгородская область,Северо-Западный,14074,1450XV век,1770,,57.9791414,33.2537994
Валуйки,Белгородская область,Центральный,33032,1593,1593,,50.211296,38.100227
Велиж,Смоленская область,Центральный,6293,1536,1776,,55.6045223,31.1949976
Великие Луки,Псковская область,Северо-Западный,86711,1166,1777,Луки(до 1406),56.342361,30.527922
Великий Новгород,Новгородская область,Северо-Западный,224286,750VIII—IX века,859,Новгород(до 1999),58.5209862,31.2757862
Великий Устюг,Вологодская область,Северо-Западный,28670,1147,1147,Устюг,60.7612852,46.3014666
Вельск,Архангельская область,Северо-Западный,21613,1137,1780,,61.0756446,42.0979582
Венёв,Тульская область,Центральный,12668,1371,1777,,54.3504,38.2656
Верещагино,Пермский край,Приволжский,22239,1898,1942,Очерская(до 1903);Вознесенская(до 1916),58.072099,54.6674784
Верея,Московская область,Центральный,4906,1371,1781,,55.343238,36.185145
Верхнеуральск,Челябинская область,Уральский,8929,1734,1781,Верхояицкая пристань(до 1736);Верхояицкая крепость(до 1775);Верхнеуральская крепость(до 1781),53.8753392,59.2197592
Верхний Тагил,Свердловская область,Уральский,10113,1716,1966,,57.3745174,59.9320798
Верхний Уфалей,Челябинская область,Уральский,22981,1761,1941,Верхне-Уфалейский завод,56.052029,60.226448
Верхняя Пышма,Свердловская область,Уральский,71335,1854,1946,Пышма;Медный Рудник(до 1946),56.9724682,60.5738926
Верхняя Салда,Свердловская область,Уральский,41034,1778,1938,,58.043598,60.554832
Верхняя Тура,Свердловская область,Уральский,8554,1737,1941,,58.3605,59.81823
Верхотурье,Свердловская область,Уральский,6706,1597,1598,,58.861702,60.809338
Верхоянск,Якутия,Дальневосточный,828,1638,1817,,67.5495068,133.3874618
Весьегонск,Тверская область,Центральный,6330,1564,1776,,58.6637264,37.2626496
Ветлуга,Нижегородская область,Приволжский,7681,1606,1778,Верхнее Воскресенское(до 1778),57.85287,45.7757157
Видное,Московская область,Центральный,101490,1949,1965,"Паринки,Видново",55.5571496,37.7087142
Вилюйск,Якутия,Дальневосточный,10032,1634,1783,Оленск(до 1821),63.754082,121.626549
Вилючинск,Камчатский край,Дальневосточный,21774,1968,1968,Советский(до 1970);Приморский(до 1994),52.931834,158.405383
Вихоревка,Иркутская область,Сибирский,21719,1947,1966,,56.124722,101.171951
Вичуга,Ивановская область,Центральный,30694,1925,1925,,57.2200735,41.9239228
Владивосток,Приморский край,Дальневосточный,603519,1860,1880,,43.1150678,131.8855768
Владикавказ,Северная Осетия,Северо-Кавказский,295830,1784,1860,"Орджоникидзе(с 1931 до 1944, с 1954 до 1990);Дзауджикау(с 1944 до 1954)",43.024593,44.68211
Владимир,Владимирская область,Центральный,349951,990,990,,56.1288899,40.4075203
Волгоград,Волгоградская область,Южный,1028036,1589,1780,Царицын(до 1925);Сталинград(до 1961),48.7081906,44.5153353
Волгодонск,Ростовская область,Южный,168048,1950,1956,Волго-Донск,47.5182668,42.1525935
Волгореченск,Костромская область,Центральный,14355,1964,1994,,57.440105,41.157181
Волжск,Марий Эл,Приволжский,53013,1550XVI век,1940,Лопатино(до 1938),55.8636579,48.3618598
Волжский,Волгоградская область,Южный,321479,1951,1954,,48.829992,44.7654586
Вологда,Вологодская область,Северо-Западный,313944,1147,1147,,59.2189391,39.8933913
Володарск,Нижегородская область,Приволжский,9705,1850XIX век,1956,Сейма(до 1920);Володары(до 1956),56.224304,43.182655
Волоколамск,Московская область,Центральный,26389,1135,1135,"Волок-на-Ламе,Волок Ламский",56.0360129,35.9583358
Волосово,Ленинградская область,Северо-Западный,11931,1870,1999,"Волосва,Волосова",59.4443938,29.4925158
Волхов,Ленинградская область,Северо-Западный,38511,1918,1933,Званка(до 1933);Волховстрой(до 1940),59.9275868,32.3276803
Волчанск,Свердловская область,Уральский,8573,1956,1956,Лесная Волчанка(до 1956),59.9347177,60.0779677
Вольск,Саратовская область,Приволжский,55035,1780,1780,,52.042755,47.386032
Воркута,Коми,Северо-Западный,56985,1936,1943,Рудник,67.5035662,64.0627028
Воронеж,Воронежская область,Центральный,1057681,1586,1586,,51.6605982,39.2005858
Ворсма,Нижегородская область,Приволжский,10162,1588,1955,,55.988102,43.275486
Воскресенск,Московская область,Центральный,95495,1862,1938,,55.322518,38.6816824
Воткинск,Удмуртия,Приволжский,97471,1759,1935,Воткинский завод,57.052505,53.990612
Всеволожск,Ленинградская область,Северо-Западный,79038,1892,1963,,60.024006,30.646042
Вуктыл,Коми,Северо-Западный,9322,1968,1984,,63.844337,57.300171
Выборг,Ленинградская область,Северо-Западный,72530,1293,1403,,60.709217,28.744051
Выкса,Нижегородская область,Приволжский,45240,1550XVI век,1934,,55.318774,42.1800408
Высоковск,Московская область,Центральный,13081,1864,1940,,56.3205097,36.5521708
Высоцк,Ленинградская область,Северо-Западный,1129,1532,1940,Тронгзунд(до 1917);Уурас(до 1948),60.6280319,28.5688339
Вытегра,Вологодская область,Северо-Западный,10386,1710,1773,,61.006498,36.4514921
Вышний Волочёк,Тверская область,Центральный,45830,1471,1770,,57.5844081,34.5597994
Вяземский,Хабаровский край,Дальневосточный,12775,1894,1951,Вяземское,47.533455,134.757874
Вязники,Владимирская область,Центральный,36203,1608,1778,,56.2469403,42.1585948
Вязьма,Смоленская область,Центральный,51950,1239,1776,,55.2103563,34.2995187
Вятские Поляны,Кировская область,Приволжский,29742,1596,1942,,56.2229946,51.0749038
Гаврилов Посад,Ивановская область,Центральный,5429,1434,1789,,56.5585501,40.1205669
Гаврилов-Ям,Ярославская область,Центральный,16084,1545,1938,"Гавриловский Ям,Гаврилов-Ямская слобода",57.3032827,39.8537697
Гагарин,Смоленская область,Центральный,26500,1705,1776,Гжатск(до 1968),55.5533865,34.9905132
Гаджиево,Мурманская область,Северо-Западный,9297,1957,1981,Ягельная Губа(до 1967);Мурманск-130(с 1981 до 1994);Скалистый(до 1999),69.250359,33.315281
Гай,Оренбургская область,Приволжский,33280,1959,1979,,51.4614976,58.4413753
Галич,Костромская область,Центральный,12856,1159,1237,Галич Мерьский,58.381382,42.347916
Гатчина,Ленинградская область,Северо-Западный,94377,1499,1796,Троцк(с 1923 до 1929);Красногвардейск(до 1944),59.5680407,30.1252083
Гвардейск,Калининградская область,Северо-Западный,14122,1255,1722,Тапиау(до 1946),54.6478265,21.0719431
Гдов,Псковская область,Северо-Западный,3455,1350XIV век,1322,,58.743066,27.8156854
Геленджик,Краснодарский край,Южный,80204,1831,1915,"Торик,Пагры,Ептала",44.5609447,38.0766832
Георгиевск,Ставропольский край,Северо-Кавказский,63221,1777,1786,,44.1478944,43.4741718
Глазов,Удмуртия,Приволжский,87762,1678,1780,,58.1401196,52.6464388
Голицыно,Московская область,Центральный,22733,1872,2004,,55.6149602,36.9887625
Горбатов,Нижегородская область,Приволжский,2009,1550XVI век,1779,Горбатое(до 1779),56.132816,43.058346
Горно-Алтайск,Алтай,Сибирский,65342,1830,1928,Улала(до 1932);Ойрот-Тура(до 1948),51.957775,85.963653
Горнозаводск,Пермский край,Приволжский,11073,1947,1965,Новопашийский(до 1965),58.374001,58.325058
Горняк,Алтайский край,Сибирский,10112,1942,1969,Золотуха,51.0004641,81.4638583
Городец,Нижегородская область,Приволжский,28660,1152,1922,,56.647141,43.476002
Городище,Пензенская область,Приволжский,7796,1681,1780,,53.273724,45.702282
Городовиковск,Калмыкия,Южный,8285,1872,1971,Башанта(до 1971),46.082851,41.934269
Гороховец,Владимирская область,Центральный,12666,1158,1158,,56.20657,42.679035
Горячий Ключ,Краснодарский край,Южный,40903,1868,1965,,44.6342653,39.1363613
Грайворон,Белгородская область,Центральный,6179,1678,1838,,50.4837728,35.6712018
Гремячинск,Пермский край,Приволжский,8360,1941,1949,,58.5669663,57.8504049
Грозный,Чечня,Северо-Кавказский,328533,1818,1869,Грозная(до 1869),43.3197031,45.6934308
Грязи,Липецкая область,Центральный,43908,1868,1938,,52.49612,39.955162
Грязовец,Вологодская область,Северо-Западный,14505,1538,1780,"Грязовитский,Грязлевицы",58.8841692,40.2515006
Губаха,Пермский край,Приволжский,23397,1755,1941,,58.842407,57.555058
Губкин,Белгородская область,Центральный,85225,1939,1955,Коробково(до 1939),51.283714,37.53466
Гудермес,Чечня,Северо-Кавказский,64376,1850XIX век,1941,посёлок имени Калинина,43.3569615,46.1007864
Гуково,Ростовская область,Южный,60361,1878,1955,,48.0530303,39.9441925
Гулькевичи,Краснодарский край,Южный,33357,1875,1961,,45.3565119,40.6962256
Гурьевск,Кемеровская область,Сибирский,22134,1816,1938,,54.284954,85.931091
Гурьевск,Кемеровская область,Сибирский,22134,1816,1938,,54.284954,85.931091
Гусев,Калининградская область,Северо-Западный,29234,1550XVI век,1724,Биссеркемен(до 1550);Гумбиннен(до 1946),54.5921685,22.2014752
Гусиноозёрск,Бурятия,Сибирский,24451,1939,1953,Шахты(до 1953),51.289516,106.527008
Гусь-Хрустальный,Владимирская область,Центральный,51552,1756,1931,Гусь;Гусь-Мальцевский(до 1926),55.6149968,40.6708665
Давлеканово,Башкортостан,Приволжский,21834,1730-е,1942,,54.2129656,55.0307219
Дагестанские Огни,Дагестан,Северо-Кавказский,31412,1914,1914,,42.1152434,48.1864201
Далматово,Курганская область,Уральский,11584,1644,1947,Служняя(до 1691);Николаевское(до 1781);Далматов(до 1924),56.258656,62.939163
Дальнегорск,Приморский край,Дальневосточный,33655,1897,1989,Тетюхе(до 1972),44.559457,135.5759241
Дальнереченск,Приморский край,Дальневосточный,23613,1859,1917,Иман(до 1972),45.9337195,133.7349056
Данилов,Ярославская область,Центральный,13677,1450XV век,1777,Даниловское(до 1777),58.188808,40.175114
Данков,Липецкая область,Центральный,19726,1563,1957,Донков,53.2533095,39.1591798
Дегтярск,Свердловская область,Уральский,15497,1914,1954,,56.698341,60.086807
Дедовск,Московская область,Центральный,30731,1911,1940,,55.8597808,37.1206449
Демидов,Смоленская область,Центральный,6326,1499,1776,Поречье(до 1918),55.2643778,31.5178326
Дербент,Дагестан,Северо-Кавказский,124953,438,1840,Баб-аль-Абваб,42.057858,48.2887648
Десногорск,Смоленская область,Центральный,25345,1974,1989,,54.1516661,33.2881028
Джанкой,Крым,Южный,37014,1784,1917,,45.7083109,34.3967681
Дзержинск,Нижегородская область,Приволжский,218630,1606,1930,Чёрное(до 1927);Растяпино(до 1929),56.2382157,43.4617405
Дзержинский,Московская область,Центральный,57918,1380-е,1981,,55.6309186,37.8496653
Дивногорск,Красноярский край,Сибирский,27477,1956,1963,Скит,55.959644,92.37542
Дигора,Северная Осетия,Северо-Кавказский,9922,1852,1964,Христиановское(до 1934),43.16,44.15847
Димитровград,Ульяновская область,Приволжский,110968,1698,1926,Мелекесс(до 1972),54.2177925,49.6254435
Дмитриев,Курская область,Центральный,6317,1779,1779,,52.12849,35.075439
Дмитров,Московская область,Центральный,65574,1154,1154,,56.3450695,37.5200723
Дмитровск,Орловская область,Центральный,5202,1711,1782,Дмитровка(до 1782);Дмитровск-Орловский(с 1929 до 2005),52.509418,35.145725
Дно,Псковская область,Северо-Западный,7850,1897,1925,Донщина,57.8288277,29.9611357
Добрянка,Пермский край,Приволжский,28782,1623,1943,Домрянка,58.4619249,56.4202945
Долгопрудный,Московская область,Центральный,120907,1931,1957,Дирижаблестрой(до 1938),55.9341491,37.5142417
Долинск,Сахалинская область,Дальневосточный,11740,1884,1946,Галкино-Врасское(до 1905);Отиай(до 1946),47.3241456,142.7979361
Домодедово,Московская область,Центральный,152404,1900,1947,Никитск,55.4091211,37.9041662
Донецк,Ростовская область,Южный,46623,1681,1951,Гундоровская(до 1951);Гундоровка(до 1955),48.3382864,39.9509488
Донской,Тульская область,Центральный,63837,1773,1939,Ходырев;посёлок при руднике имени А. И. Рыкова(до 1929),53.965651,38.3183367
Дорогобуж,Смоленская область,Центральный,9528,1150,1250XIII век,,54.9148236,33.2989051
Дрезна,Московская область,Центральный,12295,1897,1940,,55.7448093,38.8491341
Дубна,Московская область,Центральный,74183,1956,1956,Иваньково,56.7362705,37.1623696
Дубовка,Волгоградская область,Южный,14779,1732,1803,,49.06052,44.830776
Дудинка,Красноярский край,Сибирский,19556,1667,1951,,69.406067,86.175072
Духовщина,Смоленская область,Центральный,3990,1675,1777,,55.1907803,32.4060434
Дюртюли,Башкортостан,Приволжский,31185,1795,1989,,55.490616,54.863895
Дятьково,Брянская область,Центральный,25255,1626,1938,,53.6003804,34.3335523
Евпатория,Крым,Южный,107877,-497497 год до н. э.,1784,"Керкинитида,Гезлёв",45.1824481,33.3356874
Егорьевск,Московская область,Центральный,71686,1462,1778,,55.3829765,39.0356223
Ейск,Краснодарский край,Южный,82943,1848,1848,,46.7112094,38.2747987
Екатеринбург,Свердловская область,Уральский,1544376,1723,1781,Свердловск(с 1924 до 1991),56.839104,60.60825
Елабуга,Татарстан,Приволжский,73630,1050XI век,1780,Трёхсвятское,55.7577131,52.0539938
Елец,Липецкая область,Центральный,99875,1146,1778,,52.6219865,38.5003298
Елизово,Камчатский край,Дальневосточный,36240,1848,1975,Старый Острог(до 1879);Завойко(до 1924),53.1864972,158.3836712
Ельня,Смоленская область,Центральный,8332,1150,1776,,54.5764954,33.1891698
Еманжелинск,Челябинская область,Уральский,27632,1931,1951,Еманжелинские угольные копи(до 1951),54.759121,61.313198
Емва,Коми,Северо-Западный,10994,1941,1985,Княж-Погост;Железнодорожный(до 1985),62.5983295,50.8880873
Енисейск,Красноярский край,Сибирский,17537,1619,1676,"Тунгусский острог,Енисейский острог",58.4532212,92.1748169
Ермолино,Калужская область,Центральный,10809,1601,2008,,55.2055328,36.5715134
Ершов,Саратовская область,Приволжский,18095,1893,1963,,51.349793,48.2657332
Ессентуки,Ставропольский край,Северо-Кавказский,119658,1825,1917,Ессентукская,44.0470042,42.8576575
Ефремов,Тульская область,Центральный,36545,1637,1777,,53.141834,38.116188
Железноводск,Ставропольский край,Северо-Кавказский,22863,1810,1917,,44.1424034,43.0090751
Железногорск,Курская область,Центральный,97038,1957,1962,Октябрьский(до 1958),52.3389459,35.3511755
Железногорск,Курская область,Центральный,97038,1957,1962,Октябрьский(до 1958),52.3389459,35.3511755
Железногорск-Илимский,Иркутская область,Сибирский,21621,1948,1965,Коршуниха(до 1958);Железногорск(до 1965),56.5847694,104.113622
Жердевка,Тамбовская область,Центральный,13883,1745,1954,Чибизовка(до 1954),51.843933,41.470367
Жигулёвск,Самарская область,Приволжский,50466,1949,1952,,53.4005122,49.4955657
Жиздра,Калужская область,Центральный,5545,1146,1777,,53.7485337,34.7353545
Жирновск,Волгоградская область,Южный,15555,1750XVIII век,1958,Жирное(до 1954);Жирновский(до 1958),50.978779,44.778908
Жуков,Калужская область,Центральный,16224,1650XVII век,1996,Угодский Завод(до 1974);Жуково(до 1996),55.0338,36.7489
Жуковка,Брянская область,Центральный,17628,1871,1962,,53.5329608,33.7320863
Жуковский,Московская область,Центральный,111222,1935,1947,Стаханово(до 1947),55.5972801,38.1199863
