city_name,region,federal_district,population,foundation_year,status,old_name,latitude,longitude
Новотроицк,Оренбургская область,Приволжский,75960,1920,1945,Ново-Троицк,51.196369,58.298527
Новоузенск,Саратовская область,Приволжский,15216,1760,1835,"Чертанла,Новый Узень",50.462326,48.135532
Новоульяновск,Ульяновская область,Приволжский,13673,1957,1967,Кременки,54.1502073,48.3856508
Новоуральск,Свердловская область,Уральский,78479,1941,1954,Свердловск-44(до 1994),57.247047,60.095818
Новохопёрск,Воронежская область,Центральный,5948,1710,1779,,51.1008393,41.6309079
Новочебоксарск,Чувашия,Приволжский,120375,1960,1965,Спутник(до 1965),56.1140023,47.4870341
Новочеркасск,Ростовская область,Южный,163674,1805,1805,,47.41066,40.101986
Новошахтинск,Ростовская область,Южный,103480,1910,1939,,47.7542512,39.9347532
Новый Оскол,Белгородская область,Центральный,18359,1637,1647,Царёв-Алексеев(до 1655),50.7644743,37.8631808
Ногинск,Московская область,Центральный,103891,1389,1781,Рогож(до 1781);Богородск(до 1930),55.8553511,38.4411898
Нолинск,Кировская область,Приволжский,8262,1668,1780,Молотовск(с 1940 по 1957),57.5599476,49.9385053
Норильск,Красноярский край,Сибирский,174453,1935,1953,,69.3444054,88.2096151
Нурлат,Татарстан,Приволжский,33990,1905,1961,Нурлат-Октябрьский,54.4297351,50.8019579
Нытва,Пермский край,Приволжский,16675,1756,1942,,57.943423,55.3316349
Нюрба,Якутия,Дальневосточный,10138,1824,1997,,63.286648,118.354149
Нязепетровск,Челябинская область,Уральский,10379,1747,1944,"Нязе-Петровский завод,Нязе-Петровск",56.055508,59.598629
Няндома,Архангельская область,Северо-Западный,18473,1898,1939,,61.6612985,40.1970404
Обнинск,Калужская область,Центральный,125376,1946,1956,,55.0951738,36.611913
Обоянь,Курская область,Центральный,11844,1639,1779,,51.211079,36.276245
Обь,Новосибирская область,Сибирский,30369,1934,1969,,55.5795581,83.5984331
Одинцово,Московская область,Центральный,180530,1470,1957,,55.678223,37.2668096
Озёрск,Челябинская область,Уральский,76896,1945,1954,База-10(до 1954);Челябинск-40(до 1966);Челябинск-65(до 1994),55.76046,60.705101
Озёрск,Челябинская область,Уральский,76896,1945,1954,База-10(до 1954);Челябинск-40(до 1966);Челябинск-65(до 1994),55.76046,60.705101
Озёры,Московская область,Центральный,24359,1834,1925,Озерки,54.854209,38.5598853
Ойсхара,Чечня,Северо-Кавказский,19415,1732,2024,"Ойсунгур(до 1944),;Новогрозненский(до 1989)",43.2665386,46.2530693
Октябрьск,Самарская область,Приволжский,20703,1684,1956,Батраки,53.164191,48.6712489
Октябрьский,Башкортостан,Приволжский,115557,1937,1946,Соцгород(до 1946),54.4809722,53.4660062
Окуловка,Новгородская область,Северо-Западный,9949,1851,1965,,58.3740782,33.3009383
Олёкминск,Якутия,Дальневосточный,8398,1635,1783,,60.3729364,120.403496
Оленегорск,Мурманская область,Северо-Западный,21438,1949,1957,Оленья(до 1957),68.140732,33.282597
Олонец,Карелия,Северо-Западный,7663,1137,1649,,60.979276,32.9749376
Омск,Омская область,Сибирский,1125695,1716,1782,"Омский острог,Омская крепость",54.991375,73.371529
Омутнинск,Кировская область,Приволжский,19629,1773,1921,"Осокино,Омутная",58.668304,52.17625
